process_id,process_name,organism,category,complexity,node_count,conditional_count,or_gates,and_gates,not_gates,loops
ecoli_nucleotide_biosynthesis,Nucleotide Biosynthesis (Purine and Pyrimidine Synthesis),E. coli,Metabolic Pathway,detailed,79,57,3,4,2,9
ecoli_nucleotide_excision_repair,Nucleotide Excision Repair (NER),E. coli,DNA Repair,detailed,81,68,0,12,0,7
ecoli_outer_membrane_assembly,Outer Membrane Protein Assembly via BAM Complex,E. coli,Protein Transport,detailed,73,57,2,7,5,5
ecoli_oxidative_stress_response,Oxidative Stress Response (OxyR and SoxRS),E. coli,Stress Response,detailed,77,62,7,0,2,7
ecoli_pentose_phosphate_pathway,Pentose Phosphate Pathway (Oxidative and Non-oxidative),E. coli,Metabolic Pathway,detailed,56,51,5,2,2,7
ecoli_peptidoglycan_biosynthesis,Peptidoglycan Biosynthesis and Cell Wall Assembly,E. coli,Cell Wall Biogenesis,unknown,95,95,7,2,4,8
ecoli_periplasmic_stress,Periplasmic and Membrane Stress (Cpx Response),E. coli,Stress Response,detailed,76,60,8,0,10,3
ecoli_phage_defense,Bacteriophage Defense Systems (R-M and CRISPR),E. coli,Innate Immunity,detailed,69,55,4,5,5,2
ecoli_pho_regulon,Phosphate Starvation Response (Pho Regulon),E. coli,Metabolic Regulation,detailed,60,39,2,2,1,6
ecoli_phosphate_regulation,Phosphate Regulation,E. coli,Gene Regulation,detailed,64,75,4,0,6,6
ecoli_phosphate_transport,Phosphate Transport via Pst and Pit Systems,E. coli,Nutrient Transport,detailed,68,49,4,4,4,23
ecoli_protein_folding_chaperones,Protein Folding Chaperones,E. coli,Biological Process,detailed,57,47,11,0,4,12
ecoli_quorum_sensing,E. coli Quorum Sensing,E. coli,Signal Transduction,detailed,51,54,0,7,5,3
ecoli_ribosome_assembly,Ribosome Assembly and Maturation,E. coli,Translation Machinery,detailed,57,53,0,9,2,1
ecoli_rna_polymerase_recycling,RNA Polymerase Recycling and Reinitiation,E. coli,Gene Expression,detailed,52,46,0,8,3,3
ecoli_sigma_factor_competition,Sigma Factor Competition and Global Transcriptional Control,E. coli,Gene Regulation,detailed,71,56,0,10,1,7
ecoli_sos_response,E. coli SOS Response,E. coli,DNA Repair,detailed,74,62,0,11,7,3
ecoli_starvation_response,General Starvation Response (RpoS/σS),E. coli,Stress Response,detailed,92,65,7,0,10,5
ecoli_stringent_response,Stringent Response and ppGpp-Mediated Growth Control,E. coli,Stress Response,detailed,63,37,2,2,1,2
ecoli_sulfur_metabolism,Sulfur Assimilation and Cysteine Biosynthesis,E. coli,Metabolic Pathway,detailed,74,55,3,3,5,7
ecoli_tca_cycle,Tricarboxylic Acid Cycle (TCA/Krebs Cycle),E. coli,Metabolic Pathway,detailed,83,65,8,0,0,7
ecoli_transcription_elongation,Transcription Elongation,E. coli,Gene Expression,detailed,58,67,9,0,7,10
ecoli_transcription_regulation,Transcription Initiation and Regulation,E. coli,Gene Expression,detailed,20,24,0,0,3,0
ecoli_transcription_termination,Transcription Termination,E. coli,Gene Expression,detailed,64,59,7,0,10,6
ecoli_translation_elongation,Translation Elongation,E. coli,Protein Synthesis,detailed,54,65,6,1,2,8
ecoli_translation_initiation,Translation Initiation,E. coli,Protein Synthesis,detailed,84,68,0,14,7,7
ecoli_translation_termination,Translation Termination and Ribosome Recycling,E. coli,Protein Synthesis,detailed,61,62,6,0,6,5
ecoli_trp_operon,Tryptophan Operon with Attenuation,E. coli,Gene Regulation,detailed,67,44,2,1,9,2
ecoli_tryptophan_biosynthesis,Tryptophan Biosynthesis via Anthranilate,E. coli,Metabolic Pathway,detailed,68,58,3,3,8,6
ecoli_two_component_signaling,Two-Component Signal Transduction (EnvZ-OmpR),E. coli,Signal Transduction,detailed,47,33,2,1,1,1
ecoli_type_iii_secretion,E. coli Type III Secretion System,E. coli,Protein Transport,detailed,64,56,0,12,3,5
yeast_aerobic_respiration,Aerobic Respiration and Oxidative Phosphorylation,S. cerevisiae,Metabolic Pathway,unknown,84,83,5,2,5,10
yeast_alcoholic_fermentation,Alcoholic Fermentation (Ethanol Production),S. cerevisiae,Metabolic Pathway,unknown,75,83,7,1,3,12
yeast_autophagy,Yeast Autophagy,S. cerevisiae,Protein Quality Control,detailed,80,59,0,12,6,6
yeast_cell_cycle_checkpoints,Cell Cycle Checkpoints and Surveillance,S. cerevisiae,Cell Cycle,unknown,90,99,7,1,14,5
yeast_cell_cycle_control,Cell Cycle Control and CDK Regulation,S. cerevisiae,Cell Cycle,detailed,22,25,0,0,1,1
yeast_cell_wall_integrity,Cell Wall Integrity (CWI) Pathway and Pkc1 Signaling,S. cerevisiae,Stress Response,detailed,85,81,6,3,3,1
yeast_chromatin_silencing,Chromatin Silencing at Telomeres and HM Loci,S. cerevisiae,Gene Regulation,detailed,78,65,3,7,18,3
yeast_dna_replication,DNA Replication and Origin Licensing,S. cerevisiae,DNA Replication,unknown,89,87,5,5,5,8
yeast_er_stress_response,ER Stress Response and Unfolded Protein Response,S. cerevisiae,Stress Response,detailed,68,57,3,5,3,3
yeast_gal_regulation,GAL Gene Regulation,S. cerevisiae,Gene Regulation,detailed,64,51,2,1,5,2
yeast_gcn4_starvation,Gcn4 Amino Acid Starvation Response (GAAC),S. cerevisiae,Stress Response,detailed,80,57,2,2,5,0
yeast_glycolysis,Glycolysis and Glucose Metabolism,S. cerevisiae,Metabolic Pathway,detailed,68,53,4,0,3,1
yeast_heat_shock_response,Heat Shock Response,S. cerevisiae,Stress Response,detailed,57,57,6,0,2,8
yeast_hog_pathway,HOG Pathway (High Osmolarity Glycerol Response),S. cerevisiae,Signal Transduction,detailed,94,69,8,2,6,8
yeast_mapk_mating,MAPK Pheromone Response Pathway (Mating),S. cerevisiae,Signal Transduction,detailed,78,70,4,8,5,3
yeast_mating_response,Yeast Mating Response,S. cerevisiae,Signal Transduction,detailed,82,71,0,18,7,3
yeast_mating_type_switching,Mating Type Switching and HO Endonuclease Control,S. cerevisiae,Gene Regulation,detailed,58,51,4,2,2,3
yeast_meiosis_regulation,Meiosis Initiation and IME1 Regulation,S. cerevisiae,Developmental Decision,detailed,64,55,5,1,8,1
yeast_mitochondrial_biogenesis,Mitochondrial Biogenesis and Retrograde Signaling,S. cerevisiae,Organelle Biology,detailed,62,60,4,5,5,3
yeast_mitochondrial_import,Yeast Mitochondrial Protein Import,S. cerevisiae,Protein Transport,detailed,76,62,0,15,1,5
yeast_nitrogen_metabolism,Nitrogen Catabolite Repression (NCR) and TORC1 Signaling,S. cerevisiae,Metabolic Regulation,detailed,63,50,3,3,5,5
yeast_nucleotide_excision_repair,Nucleotide Excision Repair (NER) Pathway,S. cerevisiae,DNA Repair,detailed,51,50,0,9,0,0
yeast_osmotic_stress_response,Osmotic Stress Response,S. cerevisiae,Stress Response,detailed,60,74,2,0,1,7
yeast_oxidative_stress_response,Oxidative Stress Response,S. cerevisiae,Stress Response,detailed,42,49,3,2,3,9
yeast_pka_pathway,cAMP-PKA Pathway (Glucose Sensing and Growth Control),S. cerevisiae,Signal Transduction,detailed,78,57,5,2,8,2
yeast_protein_folding,Protein Folding,S. cerevisiae,Biological Process,detailed,62,46,11,0,7,3
yeast_ribosome_biogenesis,Ribosome Biogenesis and rRNA Processing,S. cerevisiae,Gene Expression,unknown,89,88,7,5,3,10
yeast_rna_splicing,Pre-mRNA Splicing by the Spliceosome,S. cerevisiae,Gene Expression,detailed,80,65,1,10,2,7
yeast_snf1_pathway,Snf1/AMPK Energy Sensing Pathway,S. cerevisiae,Signal Transduction,detailed,69,56,5,1,10,4
yeast_tor_signaling,TOR Signaling Pathway (Nutrient Sensing),S. cerevisiae,Signal Transduction,detailed,91,71,8,0,15,6
yeast_ubiquitin_proteasome,Ubiquitin-Proteasome System and Protein Degradation,S. cerevisiae,Protein Quality Control,detailed,62,56,0,10,4,1
yeast_unfolded_protein_response,Yeast Unfolded Protein Response (UPR),S. cerevisiae,Stress Response,detailed,76,60,0,13,6,5
yeast_vesicle_trafficking,Vesicle Trafficking and COPII-Mediated ER-to-Golgi Transport,S. cerevisiae,Protein Transport,detailed,80,60,2,11,3,5
yeast_yeast_cell_polarity,Yeast Cell Polarity,S. cerevisiae,Biological Process,detailed,55,45,0,7,1,0
yeast_yeast_er_associated_degradation,Yeast ER-Associated Degradation,S. cerevisiae,Biological Process,detailed,43,41,0,2,1,2
yeast_yeast_glycolysis_regulation,Yeast Glycolysis Regulation,S. cerevisiae,Gene Regulation,detailed,49,63,0,1,1,2
yeast_yeast_peroxisome_biogenesis,Yeast Peroxisome Biogenesis,S. cerevisiae,Biological Process,detailed,60,61,0,6,0,9
yeast_yeast_vacuolar_protein_sorting,Yeast Vacuolar Protein Sorting,S. cerevisiae,Biological Process,detailed,54,62,0,3,3,6
bacillus_biofilm_formation,Biofilm Formation and Matrix Production,Bacillus subtilis,Developmental Decision,detailed,64,50,4,2,6,4
bacillus_competence_development,Competence Development and DNA Uptake,Bacillus subtilis,Developmental Decision,detailed,55,50,2,1,5,4
bacillus_germination,Spore Germination,Bacillus subtilis,Developmental Decision,unknown,85,80,6,2,2,7
bacillus_sporulation_initiation,Sporulation Initiation and Spo0A Phosphorelay,Bacillus subtilis,Developmental Decision,detailed,66,61,6,1,2,4
