query_id,doc_id,relevant,notes
14,54961904-1994-451a-9bcb-4e4c3d2cd667,,
14,5532e617-e737-414f-b8e9-bd47d9afe969,,
14,arxiv_2006.04696v1,,
14,arxiv_2604.21123v1,,
14,arxiv_2605.15172v1,,
14,crossref_10.1007_978-3-662-44185-5_101078,,
14,crossref_10.1080_00927870903386460,,
14,pubmed_14314577,,
14,pubmed_32124513,,
15,70cf5b73-14e6-4959-85ab-51b450463fbf,,
15,arxiv_2601.11134v1,,
15,arxiv_2601.11219v1,,
15,arxiv_2605.18656v1,,
15,b60fccb8-462e-444b-9ccb-6061423f5a74,,
15,cde04f2c-eb1b-4436-aac0-f177aca9e036,,
15,crossref_10.1103_physrevlett.80.5695,,
15,crossref_10.1109_icassp48485.2024.10447516,,
15,pubmed_30759195,,
15,pubmed_31593869,,
16,5b12c712-48f0-495c-8e07-c94ddaa46dc0,,
16,arxiv_2604.22617v1,,
16,arxiv_2605.10275v1,,
16,crossref_10.1007_3-540-29064-8_19,,
16,pubmed_28829266,,
16,pubmed_32782340,,
16,pubmed_38750723,,
16,pubmed_39903458,,
16,pubmed_4099599,,
16,pubmed_7889378,,
17,crossref_10.1016_j.cag.2023.07.001,,
17,crossref_10.1086_300205,,
17,ed3cfbbe-e22b-4b27-b05a-3cd8fa4254c3,,
17,pubmed_1103069,,
17,pubmed_17083923,,
17,pubmed_33735617,,
17,pubmed_38747952,,
17,pubmed_40153958,,
17,pubmed_40582796,,
17,pubmed_41252418,,
18,arxiv_2604.21780v1,,
18,crossref_10.1007_978-3-662-44185-5_101078,,
18,crossref_10.1007_bf00971052,,
18,crossref_10.1103_physrevresearch.3.023038,,
18,crossref_10.1109_cvpr.2004.1315106,,
18,crossref_10.1109_qce60285.2024.00152,,
18,crossref_10.1109_tpami.2008.301,,
18,crossref_10.1215_ijm_1256050659,,
18,crossref_10.26226_m.6275705f66d5dcf63a31175b,,
18,pubmed_30918265,,
19,crossref_10.1002_9780470715352.ch5,,
19,crossref_10.1007_978-3-540-29678-2_5062,,
19,crossref_10.1007_springerreference_118610,,
19,crossref_10.1016_0002-9149(65)90715-0,,
19,pubmed_37308530,,
19,pubmed_38151331,,
19,pubmed_4138790,,
19,pubmed_4402122,,
19,pubmed_4613212,,
19,pubmed_6988085,,
20,74c8ee55-4eb4-467e-8cb6-7dd94791c824,,
20,arxiv_2005.11364v1,,
20,arxiv_2601.11329v1,,
20,arxiv_2601.11429v1,,
20,arxiv_2605.03971v1,,
20,arxiv_2605.08031v1,,
20,arxiv_2605.18163v1,,
20,pubmed_30609273,,
20,pubmed_32070715,,
20,pubmed_33540402,,
21,arxiv_1102.2898v1,,
21,arxiv_1905.03421v3,,
21,arxiv_1906.01119v1,,
21,arxiv_2008.04203v1,,
21,arxiv_2604.28176v1,,
21,biorxiv_10.1101_2025.07.03.661972,,
21,crossref_10.1088_1475-7516_2016_11_028,,
21,crossref_10.1088_1751-8121_ad075f_v1_review1,,
21,crossref_10.1088_1751-8121_ad075f_v1_review2,,
21,crossref_10.1088_1751-8121_ad075f_v2_review1,,
22,5ee79734-c7ab-4e54-bcab-2573af8ba142,,
22,arxiv_2604.21959v1,,
22,arxiv_2604.23849v1,,
22,arxiv_2605.13642v1,,
22,arxiv_2605.13746v1,,
22,crossref_10.1103_physreva.9.355,,
22,crossref_10.1103_physrevresearch.3.023038,,
22,crossref_10.1109_qce60285.2024.00152,,
22,crossref_10.26226_m.6275705f66d5dcf63a31175b,,
22,pubmed_30918265,,
23,arxiv_2005.12974v1,,
23,arxiv_2012.14285v1,,
23,arxiv_2601.07144v1,,
23,arxiv_2601.11065v1,,
23,arxiv_2601.11220v1,,
23,arxiv_2605.20070v1,,
23,crossref_10.1007_s11042-021-11345-6,,
23,pubmed_14314577,,
23,pubmed_29421223,,
23,pubmed_36448292,,
24,arxiv_2605.22759v1,,
24,medrxiv_10.64898_2026.01.02.25343276,,
24,medrxiv_10.64898_2026.01.23.26344682,,
24,pubmed_31570382,,
24,pubmed_32577006,,
24,pubmed_36244198,,
24,pubmed_36336922,,
24,pubmed_36546280,,
24,pubmed_40345710,,
24,pubmed_41052063,,
25,arxiv_2601.10885v1,,
25,arxiv_2604.25840v1,,
25,crossref_10.1002_(sici)1521-3978(200005)48:5_7<497::aid-prop497>3.0.co;2-t,,
25,crossref_10.1002_(sici)1521-3978(200005)48:5_7<497::aid-prop497>3.3.co;2-k,,
25,crossref_10.1017_cbo9780511863011.012,,
25,crossref_10.1103_physrevlett.131.110601,,
25,crossref_10.26226_m.6275705f66d5dcf63a31175b,,
25,crossref_10.3934_dcds.2021053,,
25,crossref_10.5040_9798400616693.ch-010,,
25,f5a60174-479e-4ca7-afd1-2913c24b0ff5,,
26,82fc525a-a852-45b9-95be-3bb88c2e66c9,,
26,crossref_10.1016_j.bej.2023.109193,,
26,crossref_10.1016_s0006-291x(67)80003-2,,
26,crossref_10.1016_s0026-0576(03)90190-5,,
26,pubmed_20807099,,
26,pubmed_29301547,,
26,pubmed_31618692,,
26,pubmed_32413272,,
26,pubmed_40414106,,
26,pubmed_41048210,,
27,arxiv_1809.08997v1,,
27,arxiv_2601.11135v1,,
27,arxiv_2605.13672v1,,
27,arxiv_2605.15199v1,,
27,arxiv_2605.15680v1,,
27,bbef2fb8-d7d6-4461-ac8f-c5a586392df1,,
27,crossref_10.1090_conm_761_15306,,
27,crossref_10.1103_physrevlett.93.136602,,
27,crossref_10.4064_cm98-2-10,,
27,pubmed_33858591,,
28,arxiv_1905.03421v3,,
28,arxiv_1906.01119v1,,
28,arxiv_2604.28176v1,,
28,crossref_10.1007_978-3-031-50989-6_16,,
28,crossref_10.1016_s0026-0576(96)92736-1,,
28,crossref_10.1016_s0026-0576(98)80032-9,,
28,crossref_10.1016_s0026-0576(99)80397-3,,
28,pubmed_2425384,,
28,pubmed_4108878,,
28,pubmed_41318247,,
29,arxiv_2005.12737v1,,
29,arxiv_2601.10949v1,,
29,arxiv_2601.10987v1,,
29,arxiv_2601.11038v1,,
29,arxiv_2601.11252v1,,
29,arxiv_2601.11340v1,,
29,arxiv_2605.02819v1,,
29,arxiv_2605.20177v1,,
29,arxiv_2605.23897v1,,
29,crossref_10.1126_science.ns-15.371.177-a,,
30,arxiv_2605.26112v1,,
30,crossref_10.1103_physrevlett.131.110601,,
30,crossref_10.1103_physrevresearch.3.023038,,
30,crossref_10.1109_qce60285.2024.00152,,
30,crossref_10.26226_m.6275705f66d5dcf63a31175b,,
30,pubmed_26426283,,
30,pubmed_29247883,,
30,pubmed_30918265,,
30,pubmed_36580464,,
30,pubmed_41026600,,
